"자치구별(1)","자치구별(2)",구분별(1),구분별(2),구분별(3),2023
"합계","소계",유치원,원아수 (명),소계,62880
"합계","소계",유치원,학급현황,학급수 (학급),3618
"합계","소계",유치원,학급현황,학급당원아수 (명),17.4
"합계","소계",초등학교,학생수 (명),소계,380439
"합계","소계",초등학교,학급현황,학급수 (학급),17884
"합계","소계",초등학교,학급현황,학급당학생수 (명),21.3
"합계","소계",중학교,학생수 (명),소계,198648
"합계","소계",중학교,학급현황,학급수 (학급),8358
"합계","소계",중학교,학급현황,학급당학생수 (명),23.8
"합계","소계",고등학교,학생수 (명),소계,205784
"합계","소계",고등학교,학급현황,학급수 (학급),8962
"합계","소계",고등학교,학급현황,학급당학생수 (명),23.0
"합계","종로구",유치원,원아수 (명),소계,975
"합계","종로구",유치원,학급현황,학급수 (학급),52
"합계","종로구",유치원,학급현황,학급당원아수 (명),18.8
"합계","종로구",초등학교,학생수 (명),소계,4645
"합계","종로구",초등학교,학급현황,학급수 (학급),252
"합계","종로구",초등학교,학급현황,학급당학생수 (명),18.4
"합계","종로구",중학교,학생수 (명),소계,2481
"합계","종로구",중학교,학급현황,학급수 (학급),130
"합계","종로구",중학교,학급현황,학급당학생수 (명),19.1
"합계","종로구",고등학교,학생수 (명),소계,7365
"합계","종로구",고등학교,학급현황,학급수 (학급),352
"합계","종로구",고등학교,학급현황,학급당학생수 (명),20.9
"합계","중구",유치원,원아수 (명),소계,897
"합계","중구",유치원,학급현황,학급수 (학급),55
"합계","중구",유치원,학급현황,학급당원아수 (명),16.3
"합계","중구",초등학교,학생수 (명),소계,4728
"합계","중구",초등학교,학급현황,학급수 (학급),230
"합계","중구",초등학교,학급현황,학급당학생수 (명),20.6
"합계","중구",중학교,학생수 (명),소계,1565
"합계","중구",중학교,학급현황,학급수 (학급),99
"합계","중구",중학교,학급현황,학급당학생수 (명),15.8
"합계","중구",고등학교,학생수 (명),소계,5260
"합계","중구",고등학교,학급현황,학급수 (학급),264
"합계","중구",고등학교,학급현황,학급당학생수 (명),19.9
"합계","용산구",유치원,원아수 (명),소계,1266
"합계","용산구",유치원,학급현황,학급수 (학급),67
"합계","용산구",유치원,학급현황,학급당원아수 (명),18.9
"합계","용산구",초등학교,학생수 (명),소계,6148
"합계","용산구",초등학교,학급현황,학급수 (학급),332
"합계","용산구",초등학교,학급현황,학급당학생수 (명),18.5
"합계","용산구",중학교,학생수 (명),소계,3105
"합계","용산구",중학교,학급현황,학급수 (학급),155
"합계","용산구",중학교,학급현황,학급당학생수 (명),20.0
"합계","용산구",고등학교,학생수 (명),소계,4390
"합계","용산구",고등학교,학급현황,학급수 (학급),235
"합계","용산구",고등학교,학급현황,학급당학생수 (명),18.7
"합계","성동구",유치원,원아수 (명),소계,1665
"합계","성동구",유치원,학급현황,학급수 (학급),108
"합계","성동구",유치원,학급현황,학급당원아수 (명),15.4
"합계","성동구",초등학교,학생수 (명),소계,10101
"합계","성동구",초등학교,학급현황,학급수 (학급),529
"합계","성동구",초등학교,학급현황,학급당학생수 (명),19.1
"합계","성동구",중학교,학생수 (명),소계,4339
"합계","성동구",중학교,학급현황,학급수 (학급),205
"합계","성동구",중학교,학급현황,학급당학생수 (명),21.2
"합계","성동구",고등학교,학생수 (명),소계,3648
"합계","성동구",고등학교,학급현황,학급수 (학급),179
"합계","성동구",고등학교,학급현황,학급당학생수 (명),20.4
"합계","광진구",유치원,원아수 (명),소계,1978
"합계","광진구",유치원,학급현황,학급수 (학급),105
"합계","광진구",유치원,학급현황,학급당원아수 (명),18.8
"합계","광진구",초등학교,학생수 (명),소계,12921
"합계","광진구",초등학교,학급현황,학급수 (학급),597
"합계","광진구",초등학교,학급현황,학급당학생수 (명),21.6
"합계","광진구",중학교,학생수 (명),소계,6674
"합계","광진구",중학교,학급현황,학급수 (학급),272
"합계","광진구",중학교,학급현황,학급당학생수 (명),24.5
"합계","광진구",고등학교,학생수 (명),소계,7253
"합계","광진구",고등학교,학급현황,학급수 (학급),274
"합계","광진구",고등학교,학급현황,학급당학생수 (명),26.5
"합계","동대문구",유치원,원아수 (명),소계,2375
"합계","동대문구",유치원,학급현황,학급수 (학급),132
"합계","동대문구",유치원,학급현황,학급당원아수 (명),18.0
"합계","동대문구",초등학교,학생수 (명),소계,12701
"합계","동대문구",초등학교,학급현황,학급수 (학급),588
"합계","동대문구",초등학교,학급현황,학급당학생수 (명),21.6
"합계","동대문구",중학교,학생수 (명),소계,6130
"합계","동대문구",중학교,학급현황,학급수 (학급),269
"합계","동대문구",중학교,학급현황,학급당학생수 (명),22.8
"합계","동대문구",고등학교,학생수 (명),소계,6145
"합계","동대문구",고등학교,학급현황,학급수 (학급),273
"합계","동대문구",고등학교,학급현황,학급당학생수 (명),22.5
"합계","중랑구",유치원,원아수 (명),소계,2516
"합계","중랑구",유치원,학급현황,학급수 (학급),156
"합계","중랑구",유치원,학급현황,학급당원아수 (명),16.1
"합계","중랑구",초등학교,학생수 (명),소계,13366
"합계","중랑구",초등학교,학급현황,학급수 (학급),654
"합계","중랑구",초등학교,학급현황,학급당학생수 (명),20.4
"합계","중랑구",중학교,학생수 (명),소계,6250
"합계","중랑구",중학교,학급현황,학급수 (학급),279
"합계","중랑구",중학교,학급현황,학급당학생수 (명),22.4
"합계","중랑구",고등학교,학생수 (명),소계,5812
"합계","중랑구",고등학교,학급현황,학급수 (학급),256
"합계","중랑구",고등학교,학급현황,학급당학생수 (명),22.7
"합계","성북구",유치원,원아수 (명),소계,3948
"합계","성북구",유치원,학급현황,학급수 (학급),211
"합계","성북구",유치원,학급현황,학급당원아수 (명),18.7
"합계","성북구",초등학교,학생수 (명),소계,18764
"합계","성북구",초등학교,학급현황,학급수 (학급),869
"합계","성북구",초등학교,학급현황,학급당학생수 (명),21.6
"합계","성북구",중학교,학생수 (명),소계,8814
"합계","성북구",중학교,학급현황,학급수 (학급),381
"합계","성북구",중학교,학급현황,학급당학생수 (명),23.1
"합계","성북구",고등학교,학생수 (명),소계,7582
"합계","성북구",고등학교,학급현황,학급수 (학급),336
"합계","성북구",고등학교,학급현황,학급당학생수 (명),22.6
"합계","강북구",유치원,원아수 (명),소계,1227
"합계","강북구",유치원,학급현황,학급수 (학급),86
"합계","강북구",유치원,학급현황,학급당원아수 (명),14.3
"합계","강북구",초등학교,학생수 (명),소계,8513
"합계","강북구",초등학교,학급현황,학급수 (학급),412
"합계","강북구",초등학교,학급현황,학급당학생수 (명),20.7
"합계","강북구",중학교,학생수 (명),소계,5696
"합계","강북구",중학교,학급현황,학급수 (학급),239
"합계","강북구",중학교,학급현황,학급당학생수 (명),23.8
"합계","강북구",고등학교,학생수 (명),소계,5120
"합계","강북구",고등학교,학급현황,학급수 (학급),208
"합계","강북구",고등학교,학급현황,학급당학생수 (명),24.6
"합계","도봉구",유치원,원아수 (명),소계,1914
