학교종류명,학교명,도로명주소,Latitude,Longitude,2023
중학교,행당중학교,서울특별시 성동구 왕십리로 189,37.5542926,127.0422611,21.2
중학교,한양대학교사범대학부속중학교,서울특별시 성동구 마조로 42,37.5618611,127.044243,21.2
중학교,자양중학교,서울특별시 광진구 뚝섬로41길 33,37.5353581,127.0742189,24.5
중학교,용곡중학교,서울특별시 광진구 용마산로22길 76,37.5657945,127.0888258,24.5
중학교,옥정중학교,서울특별시 성동구 한림말길 11,37.5414732,127.0124893,21.2
중학교,양진중학교,서울특별시 광진구 워커힐로 32,37.5445232,127.0982459,24.5
중학교,신양중학교,서울특별시 광진구 자양강변길 73,37.5333006,127.0634554,24.5
중학교,성원중학교,서울특별시 성동구 성덕정9가길 13,37.539213,127.0521415,21.2
중학교,성수중학교,서울특별시 성동구 서울숲길 18,37.5476595,127.0387263,21.2
중학교,무학중학교,서울특별시 성동구 행당로 120,37.5573989,127.0328678,21.2
중학교,마장중학교,서울특별시 성동구 마장로35나길 31,37.5683436,127.0419269,21.2
중학교,대원국제중학교,서울특별시 광진구 용마산로22길 26,37.5635074,127.0907178,24.5
중학교,동마중학교,서울특별시 성동구 마조로11길 18,37.5624889,127.0400097,21.2
중학교,동국대학교사범대학부속여자중학교,서울특별시 광진구 광나루로36길 47,37.5426305,127.0868252,24.5
중학교,구의중학교,서울특별시 광진구 광나루로30길 80,37.54324709999999,127.0790684,24.5
중학교,광희중학교,서울특별시 성동구 독서당로62길 46,37.5509166,127.03405,21.2
중학교,광진중학교,서울특별시 광진구 뚝섬로64길 45,37.5317861,127.089619,24.5
중학교,광장중학교,서울특별시 광진구 광장로1길 1,37.5471489,127.1017204,24.5
중학교,광양중학교,서울특별시 광진구 자양로3길 7,37.5302215,127.0860522,24.5
중학교,광남중학교,서울특별시 광진구 아차산로70길 17-62,37.5402935,127.101623,24.5
중학교,경일중학교,서울특별시 성동구 성수일로 27,37.5435198,127.0479704,21.2
중학교,경수중학교,서울특별시 성동구 뚝섬로13길 14,37.5397009,127.0584129,21.2
중학교,건국대학교사범대학부속중학교,서울특별시 광진구 자양로 145-1,37.5425408,127.0737253,24.5
중학교,중앙대학교사범대학부속중학교,서울특별시 동작구 서달로 124,37.5044905,126.9614561,23.2
중학교,장승중학교,서울특별시 동작구 장승배기로10가길 25,37.5033456,126.9406567,23.2
중학교,인헌중학교,서울특별시 관악구 인헌9길 35,37.4727935,126.9694234,22.2
중학교,영등포중학교,서울특별시 동작구 등용로8길 5,37.5082263,126.9336415,23.2
중학교,신림중학교,서울특별시 관악구 신림로 40,37.4705527,126.9448903,22.2
중학교,신관중학교,서울특별시 관악구 신림로48길 17-16,37.4802112,126.9347455,22.2
중학교,숭의여자중학교,서울특별시 동작구 여의대방로36길 79,37.5074896,126.9290766,23.2
중학교,성보중학교,서울특별시 관악구 남부순환로156길 39,37.4802493,126.9206969,22.2
중학교,성남중학교,서울특별시 동작구 대방동길 74,37.5046878,126.9269648,23.2
중학교,서울문영여자중학교,서울특별시 관악구 관악로 85,37.4729407,126.9514696,22.2
중학교,상현중학교,서울특별시 동작구 사당로2길 2-19,37.49414,126.9612892,23.2
중학교,상도중학교,서울특별시 동작구 사당로2가길 72,37.490382,126.961533,23.2
중학교,삼성중학교,서울특별시 관악구 신림로3가길 39-24,37.4678442,126.9430743,22.2
중학교,사당중학교,서울특별시 동작구 사당로9가길 58,37.4875272,126.9690138,23.2
중학교,봉원중학교,서울특별시 관악구 관악로24가길 15,37.4842209,126.9581456,22.2
중학교,봉림중학교,서울특별시 관악구 장군봉길 72,37.4804586,126.938357,22.2
중학교,미성중학교,서울특별시 관악구 문성로16길 40,37.475231,126.912395,22.2
중학교,문창중학교,서울특별시 동작구 여의대방로22나길 40,37.4958027,126.9217952,23.2
중학교,동작중학교,서울특별시 동작구 동작대로39가길 83,37.4950212,126.9772726,23.2
중학교,동양중학교,서울특별시 동작구 흑석로9길 94,37.5098245,126.9573429,23.2
중학교,대방중학교,서울특별시 동작구 여의대방로10길 24,37.4951537,126.9137646,23.2
중학교,당곡중학교,서울특별시 관악구 봉천로13길 101,37.491931,126.9331503,22.2
중학교,남성중학교,서울특별시 동작구 남부순환로269길 166,37.4788335,126.9723805,23.2
중학교,남서울중학교,서울특별시 관악구 남부순환로172길 97,37.4817647,126.9214203,22.2
중학교,남강중학교,서울특별시 관악구 난곡로34길 80,37.4718868,126.9246724,22.2
중학교,난우중학교,서울특별시 관악구 난곡로16길 32,37.4666586,126.9226707,22.2
중학교,국사봉중학교,서울특별시 동작구 양녕로20길 20,37.4937679,126.9448998,23.2
중학교,구암중학교,서울특별시 관악구 성현로 53,37.492777,126.9481733,22.2
중학교,광신중학교,서울특별시 관악구 광신길 141,37.4646506,126.9262,22.2
중학교,관악중학교,서울특별시 관악구 남부순환로237길 60,37.4806488,126.9618797,22.2
중학교,강현중학교,서울특별시 동작구 상도로13라길 22,37.5031123,126.9311045,23.2
중학교,강남중학교,서울특별시 동작구 대방동15길 29,37.5025027,126.9224335,23.2
중학교,상일중학교,서울특별시 강동구 천호대로219길 61,37.548865,127.1700089,24.0
중학교,위례솔중학교,서울특별시 송파구 위례북로2길 10,37.4870071,127.1505885,24.0
중학교,강빛중학교,서울특별시 강동구 아리수로93다길 1,37.5744814,127.171308,24.0
