학교종류명,학교명,도로명주소,Latitude,Longitude,2023
초등학교,서울숭신초등학교,서울특별시 성동구 마장로 161,37.5676959,127.0278038,19.1
초등학교,한양초등학교,서울특별시 성동구 살곶이길 208,37.5613868,127.0436916,19.1
초등학교,세종초등학교,서울특별시 광진구 군자로 114,37.5507345,127.0741314,21.6
초등학교,성동초등학교,서울특별시 광진구 자양로4길 63,37.53293670000001,127.0895315,21.6
초등학교,서울행현초등학교,서울특별시 성동구 행당로 95,37.5577402,127.0293614,19.1
초등학교,서울행당초등학교,서울특별시 성동구 고산자로8길 6,37.5566893,127.0346474,19.1
초등학교,서울중마초등학교,서울특별시 광진구 동일로72길 43,37.5658818,127.0798086,21.6
초등학교,서울중광초등학교,서울특별시 광진구 긴고랑로13길 59,37.56514960000001,127.0825086,21.6
초등학교,서울장안초등학교,서울특별시 광진구 군자로 74,37.5499417,127.071995,21.6
초등학교,서울자양초등학교,서울특별시 광진구 아차산로44길 26,37.5368302,127.0795451,21.6
초등학교,서울응봉초등학교,서울특별시 성동구 독서당로62길 28,37.5509166,127.03405,19.1
초등학교,서울용마초등학교,서울특별시 광진구 천호대로113길 10,37.5579653,127.084207,21.6
초등학교,서울용답초등학교,서울특별시 성동구 용답25길 1,37.560829,127.053555,19.1
초등학교,서울용곡초등학교,서울특별시 광진구 용마산로22길 82,37.5668387,127.0885593,21.6
초등학교,서울옥정초등학교,서울특별시 성동구 한림말길 43,37.5416733,127.0155528,19.1
초등학교,서울옥수초등학교,서울특별시 성동구 금호로1길 25,37.5459206,127.0221894,19.1
초등학교,서울양진초등학교,서울특별시 광진구 워커힐로 32,37.5445232,127.0982459,21.6
초등학교,서울양남초등학교,서울특별시 광진구 뚝섬로64길 71,37.5307405,127.0897285,21.6
초등학교,서울신자초등학교,서울특별시 광진구 뚝섬로46길 64,37.5300737,127.0755326,21.6
초등학교,서울신양초등학교,서울특별시 광진구 능동로 42,37.5345981,127.0691877,21.6
초등학교,서울송원초등학교,서울특별시 성동구 동일로43길 9,37.5540584,127.0694378,19.1
초등학교,서울성자초등학교,서울특별시 광진구 뚝섬로56길 7,37.5311675,127.0830972,21.6
초등학교,서울성수초등학교,서울특별시 성동구 아차산로17길 21,37.5442513,127.0634269,19.1
초등학교,서울사근초등학교,서울특별시 성동구 사근동11길 16,37.5628186,127.0477686,19.1
초등학교,서울무학초등학교,서울특별시 성동구 무학봉15길 21,37.562957,127.0295536,19.1
초등학교,서울마장초등학교,서울특별시 성동구 마장로35나길 31,37.5683436,127.0419269,19.1
초등학교,서울동호초등학교,서울특별시 성동구 매봉길 49-35,37.5468617,127.0103129,19.1
초등학교,서울동자초등학교,서울특별시 광진구 뚝섬로 561,37.5347052,127.0721208,21.6
초등학교,서울동의초등학교,서울특별시 광진구 영화사로 111,37.5533804,127.0988236,21.6
초등학교,서울동명초등학교,서울특별시 성동구 마장로29길 29,37.5687519,127.0357193,19.1
초등학교,서울금호초등학교,서울특별시 성동구 무수막길 69,37.5525447,127.0200964,19.1
초등학교,서울금옥초등학교,서울특별시 성동구 독서당로 251,37.5461966,127.0178855,19.1
초등학교,서울금북초등학교,서울특별시 성동구 행당로1길 13,37.5571241,127.0234702,19.1
초등학교,서울구의초등학교,서울특별시 광진구 광나루로30길 49,37.5427858,127.0803624,21.6
초등학교,서울구남초등학교,서울특별시 광진구 구의강변로 69,37.536883,127.0923038,21.6
초등학교,서울광진초등학교,서울특별시 광진구 자양로40길 41,37.5476007,127.0912271,21.6
초등학교,서울광장초등학교,서울특별시 광진구 광장로1길 27,37.54822559999999,127.1013147,21.6
초등학교,서울광남초등학교,서울특별시 광진구 아차산로70길 35,37.5408123,127.1009358,21.6
초등학교,서울경일초등학교,서울특별시 성동구 뚝섬로 332,37.5404342,127.0470515,19.1
초등학교,서울경수초등학교,서울특별시 성동구 뚝섬로13길 22,37.5397009,127.0584129,19.1
초등학교,서울경동초등학교,서울특별시 성동구 성수일로 34,37.5430599,127.0504404,19.1
초등학교,경복초등학교,서울특별시 광진구 천호대로130길 58,37.5503951,127.087338,21.6
초등학교,중앙대학교사범대학부속초등학교,서울특별시 동작구 서달로 135,37.50544,126.9599814,21.1
초등학교,서울흑석초등학교,서울특별시 동작구 현충로 87,37.5086077,126.9651514,21.1
초등학교,서울행림초등학교,서울특별시 동작구 솔밭로 47,37.4824861,126.964472,21.1
초등학교,서울청룡초등학교,서울특별시 관악구 관악로5길 61,37.4759585,126.9512194,19.5
초등학교,서울조원초등학교,서울특별시 관악구 조원로 67,37.4841267,126.9095716,19.5
초등학교,서울인헌초등학교,서울특별시 관악구 낙성대로 23,37.4764062,126.9601368,19.5
초등학교,서울은천초등학교,서울특별시 관악구 은천로 69,37.4868215,126.9428898,19.5
초등학교,서울은로초등학교,서울특별시 동작구 서달로 115,37.50336,126.9600697,21.1
초등학교,서울원신초등학교,서울특별시 관악구 광신길 177,37.4669668,126.9273667,19.5
초등학교,서울원당초등학교,서울특별시 관악구 봉천로 505,37.4810793,126.9562093,19.5
초등학교,서울영화초등학교,서울특별시 동작구 등용로8길 3,37.5095162,126.9330178,21.1
초등학교,서울영본초등학교,서울특별시 동작구 만양로12가길 69,37.5105459,126.9487309,21.1
초등학교,서울신우초등학교,서울특별시 관악구 호암로 498,37.4628309,126.9324964,19.5
초등학교,서울신성초등학교,서울특별시 관악구 신림로 114,37.4715828,126.936649,19.5
초등학교,서울신상도초등학교,서울특별시 동작구 장승배기로 14,37.499913,126.943221,21.1
초등학교,서울신봉초등학교,서울특별시 관악구 양녕로6나길 1,37.4854451,126.9491973,19.5
초등학교,서울신림초등학교,서울특별시 관악구 문성로28길 31,37.4772244,126.9275135,19.5
초등학교,서울신남성초등학교,서울특별시 동작구 사당로 146,37.4885464,126.9652863,21.1
초등학교,서울신길초등학교,서울특별시 동작구 알마타길 16,37.5104253,126.9266963,21.1
초등학교,서울상현초등학교,서울특별시 동작구 상도로58길 21,37.49493950000001,126.9526964,21.1
초등학교,서울상도초등학교,서울특별시 동작구 성대로21길 62,37.499852,126.9373202,21.1
초등학교,서울삼일초등학교,서울특별시 동작구 사당로23나길 27,37.48846400000001,126.975284,21.1
초등학교,서울삼성초등학교,서울특별시 관악구 대학7길 52,37.46807099999999,126.9410719,19.5
초등학교,서울사당초등학교,서울특별시 관악구 남현4길 51,37.4741386,126.9743404,19.5
초등학교,서울봉현초등학교,서울특별시 관악구 성현로 117,37.4909513,126.9551678,19.5
