학원명,도로명주소,분야명,정원합계,Latitude,Longitude
와이비엠어학원,서울특별시 강남구 강남대로 408,종합(대),11231,37.4992228,127.0275751
신세계음악학원,서울특별시 강남구 삼성로 212,예능(대),160,37.4974176,127.0653272
압구정뮤직아카데미학원,서울특별시 강남구 언주로172길 12,예능(대),115,37.527635,127.0346697
심포니음악학원,서울특별시 강남구 학동로 513,예능(대),28,37.51991659999999,127.0538683
아름드리음악학원,서울특별시 강남구 강남대로120길 42,예능(대),160,37.5076934,127.0267382
대치스카이독서실,서울특별시 강남구 도곡로 504,독서실,50,37.4988116,127.0616425
아르떼음악학원,서울특별시 강남구 논현로67길 61,예능(대),55,37.49275129999999,127.0349633
전선진실용음악학원,서울특별시 강남구 삼성로71길 45,예능(대),120,37.5011477,127.0553135
김이채학원,서울특별시 강남구 남부순환로395길 9,입시.검정 및 보습,12,37.4941777,127.0609483
동현음악학원,서울특별시 강남구 언주로146길 18,예능(대),35,37.5193536,127.0365755
하이든음악학원,서울특별시 강남구 남부순환로363길 49,예능(대),100,37.4881978,127.0371153
사랑음악학원,서울특별시 강남구 언주로 117,예능(대),170,37.4854423,127.0494737
진화수학학원,서울특별시 강남구 삼성로58길 39,입시.검정 및 보습,165,37.4994486,127.0642747
비엠아이(BMI-Butterfly Math Institute)수학학원,서울특별시 강남구 남부순환로 2936,입시.검정 및 보습,60,37.4933573,127.0619092
청송독서실,서울특별시 강남구 양재대로55길 15,독서실,50,37.4918891,127.0874845
문예원글로피아보습학원,서울특별시 강남구 도곡로 509,입시.검정 및 보습,1044,37.4995866,127.0620542
대치휘튼학원,서울특별시 강남구 삼성로64길 45,입시.검정 및 보습,11,37.5009632,127.0639676
엔프렙학원,서울특별시 강남구 압구정로 108,입시.검정 및 보습,36,37.5229191,127.0205789
해법수학해법영어학원,서울특별시 강남구 개포로22길 84,입시.검정 및 보습,82,37.4747924,127.0523316
21세기수학보습학원,서울특별시 강남구 학동로42길 73,입시.검정 및 보습,24,37.5109958,127.037768
지엘에스굿모닝영어영문학박사학원,서울특별시 강남구 선릉로 344,입시.검정 및 보습,150,37.5005034,127.0512048
토탈에듀예일보습학원,서울특별시 강남구 영동대로57길 28,입시.검정 및 보습,25,37.4998959,127.0652973
스터디플래닛대치2센터독서실,서울특별시 강남구 삼성로58길 29,독서실,112,37.4992421,127.0635885
수서정상어학원,서울특별시 강남구 밤고개로 219,종합(대),204,37.4747226,127.1070295
