연도,국고채3년,국고채5년,국고채10년,"회사채3년(AA-)",CD91물,"콜금리(1일물,평균)",기준금리
1997,12.26,12.17,-,13.39,13.38,13.14,-
1998,12.94,13.18,-,15.1,15.22,14.9,-
1999,7.69,8.59,-,8.86,6.81,4.99,4.75
2000,8.3,8.67,7.76,9.35,7.08,5.14,5.25
2001,5.68,6.21,6.86,7.05,5.32,4.7,4
2002,5.78,6.26,6.59,6.56,4.81,4.19,4.25
2003,4.55,4.76,5.05,5.43,4.31,3.98,3.75
2004,4.11,4.35,4.73,4.73,3.79,3.62,3.25
2005,4.27,4.52,4.95,4.68,3.65,3.32,3.75
2006,4.83,4.96,5.15,5.17,4.48,4.19,4.5
2007,5.23,5.28,5.35,5.7,5.16,4.77,5
2008,5.27,5.36,5.57,7.02,5.49,4.78,3
2009,4.04,4.64,5.17,5.81,2.63,1.98,2
2010,3.72,4.31,4.77,4.66,2.67,2.16,2.5
2011,3.62,3.9,4.2,4.41,3.44,3.09,3.25
2012,3.13,3.24,3.45,3.77,3.3,3.08,2.75
2013,2.79,3.0,3.28,3.19,2.72,2.59,2.5
2014,2.59,2.84,3.18,2.99,2.49,2.34,2
2015,1.79,1.97,2.3,2.08,1.76,1.65,1.5
2016,1.44,1.53,1.75,1.89,1.49,1.34,1.25
2017,1.8,2.0,2.28,2.33,1.44,1.26,1.5
2018,2.1,2.31,2.5,2.65,1.68,1.52,1.75
2019,1.53,1.59,1.7,2.02,1.69,1.59,1.25
2020,0.99,1.23,1.5,2.13,0.92,0.7,0.5
2021,1.39,1.72,2.07,2.08,0.85,0.61,1
2022,3.2,3.32,3.37,4.16,2.49,2.02,3.25
2023,3.57,3.59,3.64,4.39,3.71,3.51,3.5
